Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
5.00,+97.86%,224.75,228.18,231.60,216.20,-41.25,-16.02%,2,2,1.00,0.00%,Call,06/11/21
10.00,+95.71%,219.75,223.18,226.60,318.40,163.40,+105.42%,2,4,0.50,0.00%,Call,06/08/21
15.00,+93.57%,214.75,218.18,221.60,223.80,223.80,unch,1,1,1.00,"1,444.05%",Call,05/27/21
20.00,+91.43%,209.75,213.18,216.60,0.00,0.00,unch,0,0,0.00,"1,256.92%",Call,N/A
25.00,+89.29%,205.40,208.48,211.55,273.35,59.55,+27.85%,3,6,0.50,650.08%,Call,06/08/21
30.00,+87.14%,199.75,203.15,206.55,260.00,111.95,+75.62%,1,1,1.00,"1,018.16%",Call,06/08/21
35.00,+85.00%,194.75,198.15,201.55,187.70,-8.80,-4.48%,1,1,1.00,935.96%,Call,06/11/21
40.00,+82.86%,189.75,193.18,196.60,184.15,-90.85,-33.04%,3,4,0.75,870.38%,Call,06/10/21
45.00,+80.71%,184.75,188.15,191.55,196.20,62.15,+46.36%,2,3,0.67,807.94%,Call,05/27/21
50.00,+78.57%,179.35,182.98,186.60,172.95,-74.35,-30.06%,1,6,0.17,758.97%,Call,06/11/21
55.00,+76.43%,174.35,177.98,181.60,205.80,-43.30,-17.38%,1,9,0.11,712.77%,Call,06/10/21
60.00,+74.29%,169.35,172.98,176.60,159.22,-84.88,-34.77%,14,15,0.93,671.21%,Call,06/10/21
65.00,+72.14%,164.30,167.98,171.65,265.10,72.06,+37.33%,1,2,0.50,635.79%,Call,06/08/21
70.00,+70.00%,159.85,163.25,166.65,163.70,-25.34,-13.40%,3,11,0.27,399.52%,Call,06/11/21
75.00,+67.86%,154.40,157.98,161.55,153.40,-44.40,-22.45%,2,11,0.18,564.86%,Call,06/11/21
80.00,+65.72%,150.65,153.05,155.45,150.92,11.49,+8.24%,30,105,0.29,486.58%,Call,06/11/21
85.00,+63.57%,144.55,148.15,151.75,160.98,-11.37,-6.60%,1,12,0.08,515.34%,Call,06/01/21
90.00,+61.43%,139.60,143.23,146.85,134.45,-10.23,-7.07%,1,62,0.02,492.68%,Call,06/11/21
95.00,+59.29%,134.65,137.75,140.85,135.05,-67.20,-33.23%,1,11,0.09,431.71%,Call,06/11/21
