Type,Strike,Volume,Bid.Vol,Bid,Ask,Ask.Vol,Last,Mid
Underlying,,,,,,,,233.02
Call,5,2,16,224.75,231.6,10,216.2,228.175
Call,10,,17,219.75,226.6,10,318.4,223.175
Call,15,,17,214.75,221.6,10,223.8,218.175
Call,20,,17,209.75,216.6,10,,213.175
Call,25,,17,205.4,211.55,10,273.35,208.475
Call,30,,17,199.75,206.55,10,260,203.15
Call,35,1,18,194.75,201.55,10,187.7,198.15
Call,40,,16,189.75,196.6,10,184.15,193.175
Call,45,,17,184.75,191.55,10,196.2,188.15
Call,50,1,1,179.35,186.6,10,172.95,182.975
Call,55,,1,174.35,181.6,10,205.8,177.975
Call,60,,1,169.35,176.6,10,159.22,172.975
Call,65,,2,164.3,171.65,11,265.1,167.975
Call,70,3,21,159.85,166.65,2,163.7,163.25
Call,75,2,2,154.4,161.55,1,153.4,157.975
Call,80,30,1,150.65,155.45,11,150.92,153.05
Call,85,,1,144.55,151.75,10,160.98,148.15
Call,90,1,1,139.6,146.85,10,134.45,143.225
Call,95,1,3,134.65,140.85,12,135.05,137.75
Call,100,6,18,130.1,135.85,11,131.35,132.975
Call,105,2,18,125.2,130.85,13,122.7,128.025
Call,110,4,5,119.8,125.85,12,119.35,122.825
Call,115,9,11,116.45,120.85,11,116.1,118.65
Call,120,3,11,111.45,117,1,102.06,114.225
Call,125,12,10,106.45,111.25,5,99.95,108.85
Call,130,12,20,101.45,106.25,1,82.92,103.85
Call,135,,12,96.45,102.4,11,95.2,99.425
Call,140,2,4,91.45,97.65,10,81.85,94.55
Call,145,,11,86.45,92.65,10,141.78,89.55
Call,150,44,21,81.45,86.85,1,79.65,84.15
Call,155,,10,76.45,83.15,14,95.5,79.8
Call,160,37,11,72.5,78.2,15,75.08,75.35
Call,165,11,20,67.5,73.55,24,64.01,70.525
Call,170,19,32,62.5,68.6,14,64.03,65.55
Call,175,23,5,58.2,64.5,15,54.13,61.35
Call,180,47,2,53.85,60.05,15,49.73,56.95
Call,185,50,15,51.45,56.1,14,53.4,53.775
Call,190,19,18,47.4,51.55,15,44.24,49.475
Call,195,30,1,44,47.95,1,42.34,45.975
Call,200,283,1,39.25,43.75,2,42,41.5
Call,205,62,14,35.8,40.3,14,37.25,38.05
Call,210,468,14,32.8,36.8,14,33.7,34.8
Call,220,2.547,10,28.9,30.4,1,29.35,29.65
Call,225,1.027,4,26.35,28,26,27.42,27.175
Call,230,1.1,19,24.2,25.5,1,25.26,24.85
Call,235,575,3,22.05,23.65,10,23.2,22.85
Call,240,1.112,10,20.05,21.85,2,21,20.95
Call,245,320,3,18.65,20.55,15,19.2,19.6
Call,250,3.186,3,17.55,18.55,4,17.96,18.05
Call,255,556,1,16.4,17.25,1,16.7,16.825
Call,260,728,8,14.85,15.65,1,14.75,15.25
Call,265,173,1,14,14.9,1,14.55,14.45
Call,270,473,1,12.6,13.95,1,13.31,13.275
Call,275,309,6,11.45,12.95,3,12.67,12.2
Call,280,569,4,11,12,7,11.55,11.5
Call,282.5,224,3,10.65,11.75,6,11.35,11.2
Call,285,271,11,10.05,11.5,5,11,10.775
Call,287.5,864,10,9.9,11,6,10.6,10.45
Call,290,431,2,9.45,10.7,6,10.35,10.075
Call,292.5,89,10,9.2,10.45,3,9.96,9.825
Call,295,366,11,8.95,9.9,5,9.65,9.425
Call,297.5,83,5,8.7,9.65,5,9.14,9.175
Call,300,4.524,5,8.5,9,4,9.05,8.75
Call,302.5,313,7,8.1,9.15,3,8.3,8.625
Call,310,583,12,7.2,8.4,5,8.21,7.8
Call,320,888,12,6.55,7.55,3,7.15,7.05
Call,330,368,5,5.8,6.85,5,6.85,6.325
Call,340,237,12,5.1,6.3,3,5.86,5.7
Call,350,1.553,20,5,5.4,1,5.3,5.2
Call,360,646,13,4.65,5.1,1,5.2,4.875
Call,370,309,24,4.3,4.8,1,4.75,4.55
Call,380,1.851,12,4,4.55,8,4.34,4.275
Call,390,191,13,3.7,4.15,9,4.15,3.925
Call,400,2.706,22,3.55,3.9,3,3.85,3.725
